location,address,city,county,latitude,longitude,type
Charlotte Street Park ,1 Charlotte St,Charleston,"(Charleston County, SC)",32.791696,-79.926895,Gym
Karpeles Manuscript Library Museum ,68 Spring St,Charleston,"(Charleston County, SC)",32.791915,-79.943984,Gym
New Christian Missionary Baptist Church ,835 Magnolia Rd,Charleston,"(Charleston County, SC)",32.792189,-79.994839,Gym
Hampstead Cemetery ,48 Reid St,Charleston,"(Charleston County, SC)",32.793399,-79.936081,Gym
Calvary Episcopal Church ,106 Line St,Charleston,"(Charleston County, SC)",32.793877,-79.945986,Gym
Bulldog Statue ,68 Hagood Ave,Charleston,"(Charleston County, SC)",32.794012,-79.957108,Gym
The Alley ,131 Columbus St,Charleston,"(Charleston County, SC)",32.794079,-79.940902,Gym
Victory Church of God in Christ ,57 Drake St,Charleston,"(Charleston County, SC)",32.795034,-79.933936,Gym
Maryville Park And Playground ,1001-1011 Fiall St,Charleston,"(Charleston County, SC)",32.795651,-79.989083,Gym
The Ring- Citadel ,Lee Ave,Charleston,"(Charleston County, SC)",32.796507,-79.959031,Gym
Cigar Factory ,100-116 Drake St,Charleston,"(Charleston County, SC)",32.796881,-79.934704,Gym
Home Team Pig ,1118-1198 Diana St,Charleston,"(Charleston County, SC)",32.797104,-79.998004,Gym
Allan Park ,1-99 N Allan Park,Charleston,"(Charleston County, SC)",32.797213,-79.952824,Gym
Holy Trinity Greek Orthodox Church ,30 Race St,Charleston,"(Charleston County, SC)",32.79787,-79.948244,Gym
Greek Orthodox Church Icon ,20 Race St,Charleston,"(Charleston County, SC)",32.798212,-79.947791,Gym
McDonnell F-4C Phantom II ,Jenkins Ave,Charleston,"(Charleston County, SC)",32.798324,-79.961468,Gym
Mayor Joseph P Riley Jr 30th Mayoral Anniversary Tribute ,Mary Murray Dr,Charleston,"(Charleston County, SC)",32.798401,-79.956941,Gym
Hampton Park Fountain ,Mary Murray Dr,Charleston,"(Charleston County, SC)",32.798912,-79.956929,Gym
Naval Artifacts Display ,???,Charleston,"(Charleston County, SC)",32.799018,-79.960009,Gym
Waterfront Memorial Park ,99 Harry M. Hallman Jr Blvd,Mount Pleasant,"(Charleston County, SC)",32.8019144,-79.9031513,Trainer Spot
South Carolina Tricentenial Commission ,Old Town Plantation Rd,Charleston,"(Charleston County, SC)",32.802155,-79.985753,Gym
Moe's Crosstown Tavern ,714B Rutledge Ave,Charleston,"(Charleston County, SC)",32.802197,-79.953003,Gym
Marsh Cannon ,11 Fort Royal Ave,Charleston,"(Charleston County, SC)",32.802814,-79.988552,Gym
Greater Refuge Temple ,224 Huger St,Charleston,"(Charleston County, SC)",32.803188,-79.942398,Gym
Ashbury St James Church ,754 Rutledge Ave,Charleston,"(Charleston County, SC)",32.803973,-79.953625,Gym
Cassique Of The Kiawah ,Old Town Plantation Rd,Charleston,"(Charleston County, SC)",32.805109,-79.9839,Gym
John L Dart Library ,4 Gadsden Ct,Charleston,"(Charleston County, SC)",32.805128,-79.951334,Gym
Lenevar Park Exercise and Fitness Trail ,14 Edenwood Ct,Charleston,"(Charleston County, SC)",32.805172,-80.004549,Gym
Charlestowne Landing Visitor Center ,Old Town Plantation Rd,Charleston,"(Charleston County, SC)",32.807662,-79.98668,Gym
Henry Woodward plaque ,1500 Old Towne Rd,Charleston,"(Charleston County, SC)",32.808802,-79.985885,Gym
North American Otter ,1500 Old Towne Rd,Charleston,"(Charleston County, SC)",32.808995,-79.984404,Gym
Charlestowne Methodist Church ,1405 Miles Dr,Charleston,"(Charleston County, SC)",32.809113,-79.996276,Gym
Tattooed Moose ,1137 Morrison Dr,Charleston,"(Charleston County, SC)",32.81139,-79.949207,Gym
Calvary Lutheran Church ,1400 Manor Blvd,Charleston,"(Charleston County, SC)",32.81271,-80.001407,Gym
The Knights Chapel ,1662 Ingram Rd,Charleston,"(Charleston County, SC)",32.814745,-79.993344,Gym
Irish Volunteers ,130 N Romney St,Charleston,"(Charleston County, SC)",32.814942,-79.943197,Gym
Confederate Cemetery Chapel ,9 Cunnington Ave,North Charleston,"(Charleston County, SC)",32.814964,-79.947785,Gym
Grayson's Tree of Knowledge ,2111-2141 Heriot St,Charleston,"(Charleston County, SC)",32.815978,-79.952593,Gym
Magnolia Cemetery Memorial Garden ,9 Cunnington Ave,North Charleston,"(Charleston County, SC)",32.816138,-79.944985,Gym
Hindu Temple and Cultural Center ,1740 Jervey Ave,Charleston,"(Charleston County, SC)",32.817386,-80.002812,Gym
The Lions Den Tomb ,Algonquin Rd,Charleston,"(Charleston County, SC)",32.818706,-79.941592,Gym
Northbridge Baptist Church ,1160 Sam Rittenberg Blvd,Charleston,"(Charleston County, SC)",32.818992,-79.993213,Gym
Synagogue Emanu-El ,5 Windsor Dr,Charleston,"(Charleston County, SC)",32.826718,-79.987511,Gym
Cooper River Marina Dog Walk and Park ,1010 Juneau Ave,North Charleston,"(Charleston County, SC)",32.831272,-79.937559,Gym
Sam Rittenberg Boulevard ,SC-7,Charleston,"(Charleston County, SC)",32.83381,-79.986866,Gym
The House of God ,2042 Hampton Ave,North Charleston,"(Charleston County, SC)",32.841397,-79.963299,Gym
Miracle Temple Church ,2504 State Rd S-10-32,North Charleston,"(Charleston County, SC)",32.843002,-79.957642,Gym
Armed Service Memorial Fountain ,Bainbridge Ave,North Charleston,"(Charleston County, SC)",32.845872,-79.941377,Gym
New Hope Missionary Baptist ,2900 Appleton Ave,North Charleston,"(Charleston County, SC)",32.84709,-79.970745,Gym
Salvation and Deliverance ,1916 Burton Ln,North Charleston,"(Charleston County, SC)",32.848047,-79.962595,Gym
Sumter Guards Monument ,2165-2199 SC-7,North Charleston,"(Charleston County, SC)",32.853597,-79.977622,Gym
Advent Lutheran Church ,2100-2106 Carver Ave,North Charleston,"(Charleston County, SC)",32.854301,-79.974865,Gym
Unity Church Of Charleston ,2535 Leeds Ave,Charleston,"(Charleston County, SC)",32.854802,-80.010903,Gym
Wind Turbine Blade ,1256 Supply St,North Charleston,"(Charleston County, SC)",32.855054,-79.959232,Gym
Shiloh African Methodist Episcipal Church ,3570 Meeting St,North Charleston,"(Charleston County, SC)",32.855304,-79.983486,Gym
Pollo Tropical Mural ,Olivia Dr,North Charleston,"(Charleston County, SC)",32.856532,-80.043795,Gym
Our Future ,1910 Reynolds Ave,North Charleston,"(Charleston County, SC)",32.857057,-79.971114,Gym
Eternal Father of the Sea ,Ave B S,North Charleston,"(Charleston County, SC)",32.859188,-79.965188,Gym
Greater Joy Tabernacle ,3775 Spruill Ave,North Charleston,"(Charleston County, SC)",32.862128,-79.978952,Gym
North Charleston Performing Arts Center Sign ,3401 Firestone Rd,North Charleston,"(Charleston County, SC)",32.864207,-80.021164,Gym
Coffee Production Mural ,5060 International Blvd,North Charleston,"(Charleston County, SC)",32.867405,-80.017009,Gym
First Baptist Church of North Charleston ,4219 Rivers Ave,North Charleston,"(Charleston County, SC)",32.869623,-79.992875,Gym
Coast Brewing Company ,191 2nd St N,North Charleston,"(Charleston County, SC)",32.873381,-79.971845,Gym
Starbucks ,4840 Tanger Outlet Blvd,North Charleston,"(Charleston County, SC)",32.87343482,-80.01849616,Gym
Tangers Fountain ,4840 Tanger Outlet Blvd,North Charleston,"(Charleston County, SC)",32.873471,-80.017917,Gym
Tanger Center Veteran's Flag ,4840 Tanger Outlet Blvd,North Charleston,"(Charleston County, SC)",32.873642,-80.017384,Gym
Charleston Train Station ,4601-4675 Gaynor St,North Charleston,"(Charleston County, SC)",32.874831,-79.998091,Gym
North Charleston City Hall Art ,2500 City Hall Ln,North Charleston,"(Charleston County, SC)",32.876064,-80.011888,Gym
Regal Charles Towne Square Stadium 18 ,2403 Mall Dr,North Charleston,"(Charleston County, SC)",32.877491,-80.010361,Gym
Pump House Park ,4600-4620 Oakwood Ave,North Charleston,"(Charleston County, SC)",32.877613,-79.977798,Gym
Ducks at the Pond ,1150 Buist Ave,North Charleston,"(Charleston County, SC)",32.878556,-79.983001,Gym
Quarterman Park ,1150 Buist Ave,North Charleston,"(Charleston County, SC)",32.878737,-79.982033,Gym
El-Shaddai Missionary Baptist Church International ,4700-4708 State Rd S-10-39,North Charleston,"(Charleston County, SC)",32.878942,-79.987898,Gym
Park Circle Presbyterian Church ,4701 Park Pl W,North Charleston,"(Charleston County, SC)",32.87999,-79.987457,Gym
Lowcountry Map Mural ,1061 E Montague Ave,North Charleston,"(Charleston County, SC)",32.881279,-79.976152,Gym
Park Circle ,4800 Park Cir,North Charleston,"(Charleston County, SC)",32.881451,-79.983972,Gym
St. Thomas Church Mary Statue ,6650 Dorchester Rd,North Charleston,"(Charleston County, SC)",32.881966,-80.06463,Gym
Chateau Street Mural ,4845 Chateau Ave,North Charleston,"(Charleston County, SC)",32.88249,-79.976947,Gym
CHS Gazebo ,5500 International Blvd,North Charleston,"(Charleston County, SC)",32.884571,-80.036919,Gym
Armory Community Center ,5000 Lackawanna Blvd,North Charleston,"(Charleston County, SC)",32.884807,-79.993107,Gym
Landscape Reflection ,5500 International Blvd,North Charleston,"(Charleston County, SC)",32.884985,-80.035808,Gym
Pittman Street Baptist Church ,5101-5105 Pittman St,North Charleston,"(Charleston County, SC)",32.889695,-79.980766,Gym
Iglesia De Jesus Christo ,2070 Harley St,North Charleston,"(Charleston County, SC)",32.892354,-80.012175,Gym
Air Force Water Tower ,1792-1798 James Ave,North Charleston,"(Charleston County, SC)",32.893778,-80.054473,Gym
Naval Weapons Station Charleston ,S Bates St,North Charleston,"(Charleston County, SC)",32.897528,-80.051512,Gym
North Charleston Fire Departme ,2014 Remount Rd,North Charleston,"(Charleston County, SC)",32.899569,-80.014887,Gym
New Vision AME Zion Church ,1338 Fretwell St,North Charleston,"(Charleston County, SC)",32.900154,-79.995079,Gym
French Botanical Garden ,2398 Aviation Ave,North Charleston,"(Charleston County, SC)",32.900731,-80.029746,Gym
The Revelation of Christ Church ,147 1465 Remount Rd Access Rd,North Charleston,"(Charleston County, SC)",32.900749,-80.000852,Gym
Rehoboth Ministries International Church ,5638 N Rhett Ave,North Charleston,"(Charleston County, SC)",32.90133,-79.985358,Gym
Voice Of The LORD International Church ,1270 Yeamans Hall Rd,Hanahan,"(Berkeley County, SC)",32.901515,-80.010684,Gym
MWV-Kapstone Park ,Clubhouse Rd,North Charleston,"(Charleston County, SC)",32.903185,-79.989391,Gym
Bessinger-Kelly Memorial Park ,1124 Yeamans Hall Rd,Hanahan,"(Berkeley County, SC)",32.908862,-80.002906,Gym
Stardust Rollerskating Center ,2045 Spaulding Dr,North Charleston,"(Charleston County, SC)",32.909143,-80.020512,Gym
Christ's Sanctified Holy Church ,1235 Belvedere Dr,Hanahan,"(Berkeley County, SC)",32.910143,-80.008505,Gym
Tree of Life Ministries ,6363-6393 US-78,Charleston,"(Charleston County, SC)",32.911835,-80.025177,Gym
C 141b ,Arthur Dr,North Charleston,"(Charleston County, SC)",32.913271,-80.054702,Gym
Hanahan Library ,1216 Old Murray Dr,Hanahan,"(Berkeley County, SC)",32.918685,-80.020539,Gym
Midland Park United Methodist Church ,2351 State Rd S-10-1187,North Charleston,"(Charleston County, SC)",32.920668,-80.038702,Gym
The Keeper of Time ,7000 Rivers Ave,North Charleston,"(Charleston County, SC)",32.926287,-80.03143,Gym
Trident Technical College Library ,500 College Dr,North Charleston,"(Charleston County, SC)",32.926663,-80.030385,Gym
Trident Technical College Meditation Garden ,College Dr,North Charleston,"(Charleston County, SC)",32.927882,-80.031607,Gym
 Huntington Beach State Park,16148 Ocean Hwy,Murrells Inlet,"(Georgetown County, SC)",33.507189,-79.065767,Nest
 Brookgreen Gardens,1931 Brookgreen Garden Dr,Murrells Inlet,"(Georgetown County, SC)",33.518132,-79.096482,Nest
Murrells Inlet MarshWalk,Waterfront,Murrells Inlet,"(Georgetown County, SC)",33.549918,-79.043033,Habitat
Myrtle Beach State Park,4401 South Kings Highway,Myrtle Beach,"(Horry County, SC)",33.647686,-78.940353,Habitat
Valor Park ,Valor Park,Myrtle Beach,"(Horry County, SC)",33.6678058,-78.9399615,Trainer Spot
The Market Common,4017 Deville St.,Myrtle Beach,"(Horry County, SC)",33.670841,-78.939343,Habitat
Myrtle Beach Boardwalk Entertainment District,Between Second Avenue North and 15th Avenue North,Myrtle Beach,"(Horry County, SC)",33.696793,-78.875423,Habitat
Broadway at the Beach,1325 Celebrity Circle,Myrtle Beach,"(Horry County, SC)",33.714958,-78.884539,Habitat
Brookgreen Gardens,1931 Brookgreen Drive,Murrells Inlet,"(Georgetown County, SC)",33.726873,-78.89248,Habitat
Barefoot Landing,4898 Hwy 17 South,North Myrtle Beach,"(Horry County, SC)",33.842044,-78.662765,Habitat
North Myrtle Beach Park & Sports Complex,150 Citizens Circle,Little River,"(Horry County, SC)",33.87853,-78.63938,Habitat
 Gervais Street Bridge,1 Gervais Street,West Columbia,"(Lexington County, SC)",33.9957098,-81.0514818,Nest
Key's Fountain ,4129 Hearthside Dr,Wilmington,"(New Hanover County, NC)",34.173837,-77.903553,Gym
Halyburton Park ,3907-3909 S 17th St,Wilmington,"(New Hanover County, NC)",34.175651,-77.905444,Gym
The River of Life Worship Center ,3504 Carolina Beach Rd,Wilmington,"(New Hanover County, NC)",34.183386,-77.93024,Gym
Wilmington Fire Department ,3230 S College Rd,Wilmington,"(New Hanover County, NC)",34.187587,-77.891066,Gym
Pine Valley Country Club ,500 Pine Valley Dr,Wilmington,"(New Hanover County, NC)",34.18838,-77.897583,Gym
North Carolina Shipbuilding Co. ,501-517 US-117,Wilmington,"(New Hanover County, NC)",34.191705,-77.934226,Gym
Apostolic Tabernacle ,724 Wonder Way,Wilmington,"(New Hanover County, NC)",34.19444,-77.931996,Gym
City of Wilmington Water Tower ,2555 S 17th St,Wilmington,"(New Hanover County, NC)",34.195049,-77.919574,Gym
Sculpture at Greenlawn ,2540-2598 S 17th St,Wilmington,"(New Hanover County, NC)",34.195874,-77.921888,Gym
Pine Valley Baptist Church ,2-12 Partridge Rd,Wilmington,"(New Hanover County, NC)",34.197406,-77.897056,Gym
Hoggard Spirit Rock ,4305 Shipyard Blvd,Wilmington,"(New Hanover County, NC)",34.198743,-77.892906,Gym
Temple of Praise ,1637 Wellington Ave,Wilmington,"(New Hanover County, NC)",34.198876,-77.92342,Gym
Hugh MacRae Park Athletic Complex ,4501-4543 US-117,Wilmington,"(New Hanover County, NC)",34.200295,-77.889721,Gym
Hugh MacRae Fountain ,Freedom Way,Wilmington,"(New Hanover County, NC)",34.204551,-77.886037,Gym
New Hanover County War Memorial ,Freedom Way,Wilmington,"(New Hanover County, NC)",34.205325,-77.88645,Gym
Nhrmc Fountain ,2135 S 17th St,Wilmington,"(New Hanover County, NC)",34.205349,-77.922217,Gym
Jellybeans ,5214 Oleander Dr,Wilmington,"(New Hanover County, NC)",34.20755,-77.865234,Gym
Jungle Rapids ,5314 US-76,Wilmington,"(New Hanover County, NC)",34.207801,-77.863192,Gym
Hugh MacRae Park 50th Anniversary Plaque ,Hugh McRae Park Rd,Wilmington,"(New Hanover County, NC)",34.208282,-77.882707,Gym
The Stadium ,5560 US-76,Wilmington,"(New Hanover County, NC)",34.208525,-77.853119,Gym
First Baptist Church Fountain ,1901 Independence Blvd,Wilmington,"(New Hanover County, NC)",34.208604,-77.908376,Gym
Oleander United Methodist Church ,5810 Oleander Dr,Wilmington,"(New Hanover County, NC)",34.209111,-77.845295,Gym
Edwin A. Anderson ,4800-4898 US-76,Wilmington,"(New Hanover County, NC)",34.209692,-77.881638,Gym
Fragrance Garden Fountain ,1901-1999 Amphitheater Dr,Wilmington,"(New Hanover County, NC)",34.209724,-77.938191,Gym
Rotary Garden ,1900-1960 Amphitheater Dr,Wilmington,"(New Hanover County, NC)",34.209734,-77.939795,Gym
Stone Fountain ,6236-6298 River to the Sea Bikeway,Wilmington,"(New Hanover County, NC)",34.210317,-77.836223,Gym
Sea Gate Baptist Church ,123 Bagley Ave,Wilmington,"(New Hanover County, NC)",34.210518,-77.838651,Gym
Arboretum Fountain ,6206 Oleander Dr,Wilmington,"(New Hanover County, NC)",34.21054,-77.835584,Gym
Treasure House ,105 Hawthorne Dr,Wilmington,"(New Hanover County, NC)",34.210714,-77.86353,Gym
Rock Sculpture at New Hanover County Arboretum ,6206 Oleander Dr,Wilmington,"(New Hanover County, NC)",34.210898,-77.835245,Gym
Painted Bike Rack ,6300-6308 US-76,Wilmington,"(New Hanover County, NC)",34.210968,-77.835633,Gym
Mellow Mushroom ,4307 Oleander Dr,Wilmington,"(New Hanover County, NC)",34.211112,-77.889779,Gym
Bible Baptist Church ,5419 Park Ave,Wilmington,"(New Hanover County, NC)",34.21115,-77.858305,Gym
Wesley Memorial United Methodist Church ,1401 S College Rd,Wilmington,"(New Hanover County, NC)",34.211839,-77.886329,Gym
Pirate Ship ,107-111 Hinton Ave,Wilmington,"(New Hanover County, NC)",34.21209,-77.848867,Gym
Machine Man ,4000-4002 US-76,Wilmington,"(New Hanover County, NC)",34.212497,-77.897203,Gym
Our Crepes And More Metal Art ,3810 Oleander Dr,Wilmington,"(New Hanover County, NC)",34.213763,-77.900081,Gym
Gateway Church ,201-299 N MacMillan Ave,Wilmington,"(New Hanover County, NC)",34.213886,-77.881743,Gym
Lake Forest Baptist Church ,1626-1698 Lake Branch Dr,Wilmington,"(New Hanover County, NC)",34.214704,-77.93593,Gym
Belk Battle Ship Mural ,3500 Independence Blvd,Wilmington,"(New Hanover County, NC)",34.215574,-77.907257,Gym
Warriors of Christ Church ,1054 US-117,Wilmington,"(New Hanover County, NC)",34.215584,-77.886722,Gym
Kingoff's Clock ,3501 Oleander Dr,Wilmington,"(New Hanover County, NC)",34.217252,-77.903992,Gym
The Pig ,918-920 S Kerr Ave,Wilmington,"(New Hanover County, NC)",34.217895,-77.886996,Gym
WFD Memorial ,Cross City Trail,Wilmington,"(New Hanover County, NC)",34.219843,-77.905131,Gym
Heaven Sent Tabernacle of Prayer ,3421 Wrightsville Ave,Wilmington,"(New Hanover County, NC)",34.222003,-77.900217,Gym
Crossway Chapel ,4507 Fountain Dr,Wilmington,"(New Hanover County, NC)",34.222655,-77.883379,Gym
Student Recreation Center ,Walton Dr,Wilmington,"(New Hanover County, NC)",34.222986,-77.86722,Gym
Manet Mansuraque ,Chancellor's Walk,Wilmington,"(New Hanover County, NC)",34.222992,-77.865281,Gym
Dr. Wells Memorial ,4941 Riegel Rd,Wilmington,"(New Hanover County, NC)",34.223161,-77.870763,Gym
First Christian Church ,2101-2137 Mimosa Pl,Wilmington,"(New Hanover County, NC)",34.224326,-77.920188,Gym
Okami Silo ,614 NC-132,Wilmington,"(New Hanover County, NC)",34.225146,-77.881569,Gym
Khan's Garden ,Chancellor's Walk,Wilmington,"(New Hanover County, NC)",34.225262,-77.868589,Gym
Teal Fountain ,601 South College Road,Wilmington,"(New Hanover County, NC)",34.225292,-77.874275,Gym
Robert Frost Quote ,Seahawk Landing Dr,Wilmington,"(New Hanover County, NC)",34.225493,-77.861627,Gym
St. Matthews Lutheran ,612 S College Rd,Wilmington,"(New Hanover County, NC)",34.225564,-77.880942,Gym
Cicero Quote ,Walton Dr,Wilmington,"(New Hanover County, NC)",34.22603,-77.86379,Gym
Soaring Sea Hawk ,Chancellor's Walk,Wilmington,"(New Hanover County, NC)",34.226422,-77.871965,Gym
Alderman Hall ,Wagoner Dr,Wilmington,"(New Hanover County, NC)",34.226678,-77.877122,Gym
Mothers Neighborhood Park ,3201-3299 Farmers Ave,Wilmington,"(New Hanover County, NC)",34.226688,-77.902794,Gym
Soaring To Greatness ,Wagoner Dr,Wilmington,"(New Hanover County, NC)",34.226799,-77.878081,Gym
Bossy ,2210 Wrightsville Ave,Wilmington,"(New Hanover County, NC)",34.227092,-77.918188,Gym
UNCW Millennium Clock Tower ,University of North Carolina At Wilmington,Wilmington,"(New Hanover County, NC)",34.227194,-77.873123,Gym
William Madison Randall Library ,University of North Carolina At Wilmington,Wilmington,"(New Hanover County, NC)",34.227489,-77.873674,Gym
Yellow Red Sculpture ,Randall Dr,Wilmington,"(New Hanover County, NC)",34.228633,-77.867795,Gym
Community Hospital 1920-1967 ,521 S 11th St,Wilmington,"(New Hanover County, NC)",34.228961,-77.934492,Gym
Glad Tidings Community Church ,3110 Randall Pkwy,Wilmington,"(New Hanover County, NC)",34.229034,-77.904215,Gym
The Juggling Gypsy ,1612 Castle St,Wilmington,"(New Hanover County, NC)",34.229264,-77.927441,Gym
Anne Mccrary Park ,Cross City Trail,Wilmington,"(New Hanover County, NC)",34.230484,-77.892379,Gym
SPL Joce Carrasquillo Memorial ,5003 Randall Pkwy,Wilmington,"(New Hanover County, NC)",34.232372,-77.878407,Gym
Anderson Tabernacle Church ,317 S 17th St,Wilmington,"(New Hanover County, NC)",34.232725,-77.926949,Gym
El Cerro Grande Mural ,341 S College Rd,Wilmington,"(New Hanover County, NC)",34.233299,-77.872657,Gym
Statue of St Mark ,1011 Eastwood Rd,Wilmington,"(New Hanover County, NC)",34.237118,-77.845153,Gym
Fountain at Andrews Mortuary ,1613-1617 US-17 BUS,Wilmington,"(New Hanover County, NC)",34.23717,-77.928014,Gym
Froggy Pond ,250 Racine Dr,Wilmington,"(New Hanover County, NC)",34.239032,-77.867156,Gym
Face Carved in a Rock ,101 Wayne Dr,Wilmington,"(New Hanover County, NC)",34.239078,-77.907155,Gym
Clockwork Horse ,211 Racine Dr,Wilmington,"(New Hanover County, NC)",34.240173,-77.864701,Gym
Mattress Headquarters Palm Tree Mural ,3722 Market St,Wilmington,"(New Hanover County, NC)",34.240676,-77.899774,Gym
New Hanover County Government Center ,230 Government Center Dr,Wilmington,"(New Hanover County, NC)",34.241573,-77.867547,Gym
Wilmington First Pentecostal Holiness Church ,2901 Chestnut St,Wilmington,"(New Hanover County, NC)",34.241776,-77.909191,Gym
Kerr Ave Mural ,4618 Market St,Wilmington,"(New Hanover County, NC)",34.242057,-77.888226,Gym
Cross Memorial ,4875 New Centre Dr,Wilmington,"(New Hanover County, NC)",34.243726,-77.878725,Gym
Tortoise Fountain ,222 Old Eastwood Rd,Wilmington,"(New Hanover County, NC)",34.243896,-77.863124,Gym
Wilmington US Post Office ,314 Lennon Dr,Wilmington,"(New Hanover County, NC)",34.249854,-77.875717,Gym
Anderson County Courthouse or Downtown ,100 East Whitner Street,Anderson,"(Anderson County, SC)",34.5034394,-82.6501332,Trainer Spot
 Heritage Park,861 SE Main St,Simpsonville,"(Greenville County, SC)",34.721315,-82.232237,Nest
Heritage Park ,861 SE Main St,Simpsonville,"(Greenville County, SC)",34.7213151,-82.2344256,Trainer Spot
Lakeview Golf Club ,315 Piedmont Golf Course Rd,Greenville,"(Greenville County, SC)",34.731166,-82.4311547,Trainer Spot
Simpsonville City Park ,Park Dr,Simpsonville,"(Greenville County, SC)",34.7400159,-82.2525214,Trainer Spot
 Simpsonville City Park,Academy St,Simpsonville,"(Greenville County, SC)",34.7405511,-82.2523254,Habitat
Southside Park ,417 Baldwin Rd,Simpsonville,"(Greenville County, SC)",34.7443885,-82.3052331,Trainer Spot
Legacy P,200 Ranch Rd W,Greenville,"(Greenville County, SC)",34.744793,-82.3257187,Trainer Spot
